variable,value,mean_intervention,expected_harm,disturbance_rate,excavation_rate,avoidance_rate,mean_caution,mean_curiosity
marker_clarity,0.0,0.2770549395883437,0.06920711818389516,0.0,0.0,0.38314,0.45519576299892067,0.5081478342000257
marker_clarity,0.041666666666666664,0.2751482955887953,0.06873092061150197,0.0,0.0,0.39221,0.45894576299892076,0.5081478342000257
marker_clarity,0.08333333333333333,0.27324165158924696,0.06825472303910878,0.0,0.0,0.40056,0.4626957629989208,0.5081478342000257
marker_clarity,0.125,0.2713350075896986,0.06777852546671559,0.0,0.0,0.4091,0.4664457629989207,0.5081478342000257
marker_clarity,0.16666666666666666,0.2694283635901502,0.06730232789432238,0.0,0.0,0.41763,0.4701957629989207,0.5081478342000257
marker_clarity,0.20833333333333331,0.26752171959060184,0.06682613032192919,0.0,0.0,0.42732,0.4739457629989207,0.5081478342000257
marker_clarity,0.25,0.26561507559105346,0.06634993274953599,0.0,0.0,0.43691,0.47769576299892086,0.5081478342000257
marker_clarity,0.29166666666666663,0.2637084315915051,0.06587373517714279,0.0,0.0,0.44646,0.48144576299892067,0.5081478342000257
marker_clarity,0.3333333333333333,0.26180178759195666,0.06539753760474959,0.0,0.0,0.45596,0.48519576299892075,0.5081478342000257
marker_clarity,0.375,0.2598951435924083,0.0649213400323564,0.0,0.0,0.4654,0.4889457629989207,0.5081478342000257
marker_clarity,0.41666666666666663,0.2579884995928599,0.0644451424599632,0.0,0.0,0.47504,0.4926957629989207,0.5081478342000257
marker_clarity,0.4583333333333333,0.2560818555933115,0.06396894488757,0.0,0.0,0.48507,0.49644576299892074,0.5081478342000257
marker_clarity,0.5,0.2541752115937631,0.0634927473151768,0.0,0.0,0.49514,0.5001957629989208,0.5081478342000257
marker_clarity,0.5416666666666666,0.2522685675942148,0.06301654974278362,0.0,0.0,0.50597,0.5039457629989207,0.5081478342000257
marker_clarity,0.5833333333333333,0.2503619235946664,0.06254035217039042,0.0,0.0,0.5166,0.5076957629989207,0.5081478342000257
marker_clarity,0.625,0.24845527959511798,0.062064154597997225,0.0,0.0,0.52706,0.5114457629989207,0.5081478342000257
marker_clarity,0.6666666666666666,0.2465486355955696,0.061587957025604025,0.0,0.0,0.53765,0.5151957629989207,0.5081478342000257
marker_clarity,0.7083333333333333,0.24464199159602126,0.06111175945321083,0.0,0.0,0.5482,0.5189457629989208,0.5081478342000257
marker_clarity,0.75,0.24273534759647286,0.06063556188081763,0.0,0.0,0.55861,0.5226957629989207,0.5081478342000257
marker_clarity,0.7916666666666666,0.2408287035969245,0.06015936430842444,0.0,0.0,0.56933,0.5264457629989207,0.5081478342000257
marker_clarity,0.8333333333333333,0.2389220595973761,0.05968316673603123,0.0,0.0,0.5801,0.5301957629989208,0.5081478342000257
marker_clarity,0.875,0.23701541559782774,0.05920696916363804,0.0,0.0,0.59127,0.5339457629989207,0.5081478342000257
marker_clarity,0.9166666666666666,0.2351087715982793,0.05873077159124484,0.0,0.0,0.60193,0.5376957629989207,0.5081478342000257
marker_clarity,0.9583333333333333,0.2332021275987309,0.05825457401885165,0.0,0.0,0.6122,0.5414457629989208,0.5081478342000257
marker_clarity,1.0,0.23129548359918256,0.05777837644645845,0.0,0.0,0.62276,0.5451957629989208,0.5081478342000257
phenomenological_caution,0.0,0.38128481156365523,0.0952392521413899,0.00495,0.0,0.10825,0.25019576299892077,0.5081478342000257
phenomenological_caution,0.041666666666666664,0.37069234489949754,0.09259371007253882,0.00297,0.0,0.12309,0.27102909633225414,0.5081478342000257
phenomenological_caution,0.08333333333333333,0.36009987823534,0.08994816800368771,0.0017,0.0,0.13976,0.2918624296655874,0.5081478342000257
